MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,TOTAL
SAO CAETANO,0,3,0,0,1,1,1,1,1,0,0,8
SAO JOAO,0,0,1,1,1,1,0,0,0,0,0,4
SAO JOAQUIM DO MONTE,0,0,0,0,3,0,0,0,0,0,0,3
SAO JOSE DA COROA GRANDE,1,2,2,2,0,1,2,3,1,0,1,15
SAO JOSE DO BELMONTE,2,2,1,1,0,0,0,0,1,0,1,8
SAO JOSE DO EGITO,0,3,1,0,1,1,1,0,3,0,1,11
SAO LOURENCO DA MATA,5,3,0,2,0,0,3,1,0,3,1,18
SAO VICENTE FERRER,0,0,0,0,0,0,1,0,2,0,0,3
SERRA TALHADA,3,0,3,1,1,1,2,1,3,1,0,16
SERRITA,0,0,1,1,0,2,0,0,0,0,0,4
SERTANIA,0,4,4,0,1,0,1,1,2,1,0,14
SIRINHAEM,1,0,0,1,1,0,0,0,0,0,1,4
SOLIDAO,0,0,0,0,0,0,0,0,0,0,0,0
SURUBIM,2,2,0,3,1,3,0,2,1,1,3,18
TABIRA,0,0,1,0,0,0,1,0,0,0,1,3
TACAIMBO,0,1,0,0,0,0,0,0,0,1,0,2
TACARATU,1,0,1,0,2,0,1,0,0,1,0,6
TAMANDARE,0,0,4,3,1,7,1,1,1,0,1,19
TAQUARITINGA DO NORTE,0,2,1,0,0,0,1,0,1,0,0,5
TEREZINHA,0,0,1,0,1,0,0,0,0,0,0,2
TERRA NOVA,0,2,0,4,1,0,0,0,0,2,0,9
TIMBAUBA,1,3,0,1,0,0,0,0,3,0,1,9
TORITAMA,3,1,1,1,1,0,0,0,1,0,0,8
TRACUNHAEM,0,0,0,0,0,0,1,1,2,0,0,4
TRINDADE,0,2,1,0,4,2,2,3,1,1,1,17
TRIUNFO,0,0,1,0,0,0,0,0,0,0,3,4
TUPANATINGA,0,1,1,0,0,2,2,2,2,0,0,10
TUPARETAMA,0,0,0,1,0,0,0,0,0,1,0,2
VENTUROSA,0,0,0,0,0,0,0,0,0,1,0,1
VERDEJANTE,0,1,0,0,0,0,0,1,0,0,1,3
VERTENTE DO LERIO,1,0,0,0,0,0,0,0,1,0,0,2
VERTENTES,0,0,2,1,0,0,1,0,0,0,0,4
VICENCIA,0,0,0,1,0,0,0,0,1,0,0,2
VITORIA DE SANTO ANTAO,6,4,2,1,4,2,0,1,2,4,1,27
XEXEU,0,0,0,0,0,0,1,0,0,0,0,1
